,listing_id,date,available,price
38690,14057466,2017-09-05,f,
38691,14057466,2017-09-04,f,
38692,14057466,2017-09-03,f,
38693,14057466,2017-09-02,f,
38694,14057466,2017-09-01,f,
39279,14909417,2017-09-05,t,$332.00
39280,14909417,2017-09-04,t,$332.00
39281,14909417,2017-09-03,t,$333.00
39282,14909417,2017-09-02,t,$332.00
39283,14909417,2017-09-01,t,$332.00
39420,5521378,2017-09-05,f,
39421,5521378,2017-09-04,f,
39422,5521378,2017-09-03,f,
39423,5521378,2017-09-02,f,
39424,5521378,2017-09-01,f,
40074,13041602,2017-09-05,f,
40075,13041602,2017-09-04,f,
40076,13041602,2017-09-03,f,
40077,13041602,2017-09-02,f,
40078,13041602,2017-09-01,f,
40330,2621242,2017-09-05,t,$110.00
40331,2621242,2017-09-04,t,$110.00
40332,2621242,2017-09-03,t,$110.00
40333,2621242,2017-09-02,t,$110.00
40334,2621242,2017-09-01,t,$110.00
40515,950046,2017-09-05,t,$250.00
40516,950046,2017-09-04,t,$250.00
40517,950046,2017-09-03,t,$250.00
40518,950046,2017-09-02,t,$250.00
40519,950046,2017-09-01,t,$250.00
40880,3342094,2017-09-05,t,$395.00
40881,3342094,2017-09-04,t,$395.00
40882,3342094,2017-09-03,t,$395.00
40883,3342094,2017-09-02,t,$375.00
40884,3342094,2017-09-01,t,$375.00
41245,5652147,2017-09-05,t,$300.00
41246,5652147,2017-09-04,t,$300.00
41247,5652147,2017-09-03,t,$300.00
41248,5652147,2017-09-02,t,$300.00
41249,5652147,2017-09-01,t,$300.00
41610,14105971,2017-09-05,f,
41611,14105971,2017-09-04,f,
41612,14105971,2017-09-03,f,
41613,14105971,2017-09-02,f,
41614,14105971,2017-09-01,f,
42253,2875267,2017-09-05,f,
42254,2875267,2017-09-04,f,
42255,2875267,2017-09-03,f,
42256,2875267,2017-09-02,f,
42257,2875267,2017-09-01,f,
42562,9485607,2017-09-05,t,$195.00
42563,9485607,2017-09-04,t,$195.00
42564,9485607,2017-09-03,t,$195.00
42565,9485607,2017-09-02,t,$225.00
42566,9485607,2017-09-01,t,$225.00
42705,7273770,2017-09-05,f,
42706,7273770,2017-09-04,f,
42707,7273770,2017-09-03,f,
42708,7273770,2017-09-02,f,
42709,7273770,2017-09-01,f,
43279,5405928,2017-09-05,t,$200.00
43280,5405928,2017-09-04,t,$200.00
43281,5405928,2017-09-03,t,$200.00
43282,5405928,2017-09-02,t,$200.00
43283,5405928,2017-09-01,t,$200.00
43609,4586681,2017-09-05,t,$90.00
43610,4586681,2017-09-04,t,$90.00
43611,4586681,2017-09-03,t,$90.00
43612,4586681,2017-09-02,t,$90.00
43613,4586681,2017-09-01,t,$90.00
44069,1113272,2017-09-05,t,$210.00
44070,1113272,2017-09-04,t,$210.00
44071,1113272,2017-09-03,t,$210.00
44072,1113272,2017-09-02,t,$210.00
44073,1113272,2017-09-01,t,$210.00
44428,12647606,2017-09-05,f,
44429,12647606,2017-09-04,f,
44430,12647606,2017-09-03,f,
44431,12647606,2017-09-02,f,
44432,12647606,2017-09-01,f,
44530,10271867,2017-09-05,f,
44531,10271867,2017-09-04,f,
44532,10271867,2017-09-03,f,
44533,10271867,2017-09-02,f,
44534,10271867,2017-09-01,f,
45059,7879708,2017-09-05,t,$75.00
45060,7879708,2017-09-04,t,$75.00
45061,7879708,2017-09-03,t,$75.00
45062,7879708,2017-09-02,t,$75.00
45063,7879708,2017-09-01,t,$75.00
45471,3881993,2017-09-05,t,$500.00
45472,3881993,2017-09-04,t,$500.00
45473,3881993,2017-09-03,t,$500.00
45474,3881993,2017-09-02,t,$500.00
45475,3881993,2017-09-01,t,$500.00
45805,12566065,2017-09-05,f,
45806,12566065,2017-09-04,f,
45807,12566065,2017-09-03,f,
45808,12566065,2017-09-02,f,
45809,12566065,2017-09-01,f,
45990,6602217,2017-09-05,t,$130.00
45991,6602217,2017-09-04,t,$130.00
45992,6602217,2017-09-03,t,$130.00
45993,6602217,2017-09-02,t,$130.00
45994,6602217,2017-09-01,t,$130.00
46355,3276286,2017-09-05,f,
46356,3276286,2017-09-04,f,
46357,3276286,2017-09-03,f,
46358,3276286,2017-09-02,f,
46359,3276286,2017-09-01,f,
46879,2014651,2017-09-05,t,$100.00
46880,2014651,2017-09-04,t,$100.00
46881,2014651,2017-09-03,t,$100.00
46882,2014651,2017-09-02,t,$100.00
46883,2014651,2017-09-01,t,$100.00
47339,6053700,2017-09-05,t,$450.00
47340,6053700,2017-09-04,t,$450.00
47341,6053700,2017-09-03,t,$450.00
47342,6053700,2017-09-02,t,$450.00
47343,6053700,2017-09-01,t,$450.00
47657,4405982,2017-09-05,t,$399.00
47658,4405982,2017-09-04,t,$399.00
47659,4405982,2017-09-03,t,$399.00
47660,4405982,2017-09-02,t,$429.00
47661,4405982,2017-09-01,t,$429.00
47997,250983,2017-09-05,t,$350.00
47998,250983,2017-09-04,t,$350.00
47999,250983,2017-09-03,t,$350.00
48000,250983,2017-09-02,t,$350.00
48001,250983,2017-09-01,t,$350.00
48385,2308630,2017-09-05,f,
48386,2308630,2017-09-04,f,
48387,2308630,2017-09-03,f,
48388,2308630,2017-09-02,f,
48389,2308630,2017-09-01,f,
48781,8272350,2017-09-05,f,
48782,8272350,2017-09-04,f,
48783,8272350,2017-09-03,f,
48784,8272350,2017-09-02,f,
48785,8272350,2017-09-01,f,
48910,12368012,2017-09-05,t,$295.00
48911,12368012,2017-09-04,t,$295.00
48912,12368012,2017-09-03,t,$295.00
48913,12368012,2017-09-02,t,$295.00
48914,12368012,2017-09-01,t,$295.00
49275,4098410,2017-09-05,t,$107.00
49276,4098410,2017-09-04,t,$107.00
49277,4098410,2017-09-03,t,$107.00
49278,4098410,2017-09-02,t,$107.00
49279,4098410,2017-09-01,t,$107.00
49863,6322283,2017-09-05,f,
49864,6322283,2017-09-04,f,
49865,6322283,2017-09-03,f,
49866,6322283,2017-09-02,f,
49867,6322283,2017-09-01,f,
50005,7823025,2017-09-05,f,
50006,7823025,2017-09-04,f,
50007,7823025,2017-09-03,f,
50008,7823025,2017-09-02,f,
50009,7823025,2017-09-01,f,
50632,9549850,2017-09-05,t,$75.00
50633,9549850,2017-09-04,t,$75.00
50634,9549850,2017-09-03,t,$75.00
50635,9549850,2017-09-02,t,$85.00
50636,9549850,2017-09-01,t,$85.00
50735,7845607,2017-09-05,f,
50736,7845607,2017-09-04,f,
50737,7845607,2017-09-03,f,
50738,7845607,2017-09-02,f,
50739,7845607,2017-09-01,f,
51100,14071446,2017-09-05,f,
51101,14071446,2017-09-04,f,
51102,14071446,2017-09-03,f,
